"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
100,"28506-33-4","LELPCBUDRUDINH-UHFFFAOYSA-N","C15H9F19OS",598.007072088,"C=C(C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
101,"30769-88-1","ZBPHBMSKQBHWJR-UHFFFAOYSA-N","C17H9F23OS",698.000684968,"C=C(C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
102,NA,"VMDVHHXKJFTLTD-UHFFFAOYSA-N","C7H7F7O",240.038512384,"C=C(C)COC(F)(C(F)(F)F)C(F)(F)F"
103,NA,"ALLMSMRJFZFUBB-UHFFFAOYSA-N","C12H7BrF9NOS",462.928800924,"CC(=O)N=S(c1ccc(Br)cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
104,NA,"MAUZJOYMXJCRIB-UHFFFAOYSA-N","C12H8F9NOS",385.018288856,"CC(=O)N=S(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
105,NA,"HVLNFEAJGJQHFN-UHFFFAOYSA-N","C10H7F9O3",346.025148064,"CC(=O)C(C(C)=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
106,NA,"LFMZSQGESVNRLL-UHFFFAOYSA-N","C9H3F15O",411.994438016,"CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
107,NA,"IWJCXMJWFQQWED-UHFFFAOYSA-N","C8H3F13O",361.997631576,"CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
108,NA,"HWGNOHFZECDUBX-UHFFFAOYSA-N","C7H3F11O",312.000825136,"CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
109,NA,"LPPFRPMJUNOKRS-UHFFFAOYSA-N","C6H3F9O",262.004018696,"CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
110,"355-17-9","XJYXROGTQYHLTH-UHFFFAOYSA-N","C5H3F7O",212.007212256,"CC(=O)C(F)(F)C(F)(F)C(F)(F)F"
111,NA,"GASXCMFGMORIFO-UHFFFAOYSA-N","C10H3F15O",423.994438016,"CC(=O)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
112,NA,"FGWAKQKTCXBUER-UHFFFAOYSA-N","C11H4F16O",456.000666268,"CC(=O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
113,NA,"HJVLSXWSPYGSIV-UHFFFAOYSA-N","C11H7F7O",288.038512384,"CC(=O)c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1"
114,NA,"BWOZUJHCNZSSLZ-UHFFFAOYSA-N","C9H6F7NO",277.033761352,"CC(=O)c1c[nH]cc1C(F)(F)C(F)(F)C(F)(F)F"
115,NA,"DWUMJZXYFAYWQF-UHFFFAOYSA-N","C7H6F7NO",253.033761352,"CC(=O)CC(=N)C(F)(F)C(F)(F)C(F)(F)F"
