"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"",NA,"AHPNUZPODAGHJZ-UHFFFAOYSA-N","C16H2F28O4",789.950598704,"O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O"
"DTXSID5059828","CAS_RN: 335-58-0","AHUMDLIBMIYQMU-UHFFFAOYSA-N","C7F15I",495.8805213,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I"
"DTXSID10892615",NA,"AIGDLYRKICIOLY-UHFFFAOYSA-O","C18H14F24NO2",732.064130968,"C[N+](C)(CCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O"
"","CAS_RN: 55910-10-6","BTZLOWXUIJOJSD-UHFFFAOYSA-N","C13H10F17NO4S",599.00590854,"CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID50895448","CAS_RN: 677324-32-2","AIHVYRVVEYXPSZ-UHFFFAOYSA-N","C29H35F25",858.23395662,"CCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID90895740","CAS_RN: 1228350-17-1","AIIUJTLQIOPZBE-UHFFFAOYSA-N","C13H11F13O2",446.055146452,"C=C(C)C(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID50896278","CAS_RN: 135339-05-8","AILIUGSCIINIHV-UHFFFAOYSA-N","C17H9F15N2O2",558.042450828,"CCOC(=O)c1c(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nc2ccccn12"
"DTXSID90880151","CAS_RN: 1735-48-4","AILNJPONTDNFHN-UHFFFAOYSA-N","C8F18",437.97125796,"FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F"
"",NA,"AIMOKUHEHJVQRJ-UHFFFAOYSA-O","C16H26F11N2O10S3",711.057393452,"C[N+](C)(CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS(=O)(=O)O"
"DTXSID40896383","CAS_RN: 20017-50-9","AIMRZXIGISGIMY-UHFFFAOYSA-N","C9F11NO2",362.97533866,"O=[N+]([O-])c1c(F)c(F)c(C(F)(C(F)(F)F)C(F)(F)F)c(F)c1F"
"DTXSID70633400","CAS_RN: 74701-33-0","AIOWABGMWFAARU-UHFFFAOYSA-N","C15H5F17O2",540.00180914,"O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1"
"DTXSID20881313","CAS_RN: 63513-12-2","AIOYDPRIRKONCK-UHFFFAOYSA-N","C16H8F17O4P",617.988875106,"O=P(O)(O)Cc1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1"
"DTXSID00896021","CAS_RN: 2195-67-7","AIZAMOOEHGSUGQ-UHFFFAOYSA-N","C11H6F7N3",313.044994732,"FC(F)(F)C(F)(F)C(F)(F)c1nc(-c2ccccc2)n[nH]1"
"DTXSID101015594",NA,"AJBZTNALOBRIRR-UHFFFAOYSA-N","C8HF19O2S",521.939386452,"O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(F)(F)(F)F"
"DTXSID90892956","CAS_RN: 30295-56-8","AJHOIKIILYAOBA-UHFFFAOYSA-N","C11H13F13N2O3S",500.043930136,"C[N+](C)([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
