PREFERRED_NAME,LIST_ID,INCHIKEY,FORMULA,MONOISOTOPIC_MASS,SMILES,NumHDonors,NumHAcceptors,TYPE,MD,KMD,modulo,parent,rep_unit,rep_mass,rep_num,residual,residual_charge,residual_mass,ACRONYM
"tert-Butyl (4,4,5,5,6,6,7,7,7-nonafluoro-2-iodoheptyl)carbamate",OECDPFAS_list_22012019.csv,FAXXTHFQCHDQLQ-UHFFFAOYSA-N,C12H15F9INO2,503.00038,CC(C)(C)OC(=O)NCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,2,Suspect,0.00038,-0.03250929,3.0323156,C12H15F9INO2,CF2,49.99680644,4,C8H15F1I1N1O2,neutral,303.0131549,NA
"4-[5-(Heptafluoropropyl)-1H-1,2,4-triazol-3-yl]aniline",OECDPFAS_list_22012019.csv,XVRXVWFWFXRWSP-UHFFFAOYSA-N,C11H7F7N4,328.0558934,Nc1ccc(cc1)-c1nNc(n1)C(F)(F)C(F)(F)C(F)(F)F,2,3,Suspect,0.0558934,-0.076848062,28.07505476,C11H7F7N4,CF2,49.99680644,3,C8H7F1N4,neutral,178.0654744,NA
"2-(Tridecafluorohexyl)-5,6-dihydro-2H-pyran-2-ol",OECDPFAS_list_22012019.csv,DPCIODUZKZAIGF-UHFFFAOYSA-N,C11H7F13O2,418.0238456,OC1(OCCC=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,2,Suspect,0.0238456,-0.05054699,18.04939408,C11H7F13O2,CF2,49.99680644,6,C5H7F1O2,neutral,118.0430077,NA
"N-(2,4-Dimethylphenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",OECDPFAS_list_22012019.csv,BYYHYKYPFROLEU-UHFFFAOYSA-N,C12H10F7NO,317.0650611,Cc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(C)c1,1,1,Suspect,0.0650611,-0.085313719,17.08422246,C12H10F7NO,CF2,49.99680644,3,C9H10F1N1O1,neutral,167.0746422,NA
"6-[(2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptyl)oxy]-1,3,5-triazine-2,4-diamine",OECDPFAS_list_22012019.csv,YPGCCGOAPJDVQF-UHFFFAOYSA-N,C10H6F13N5O,459.036476,Nc1nc(N)nc(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)n1,2,6,Suspect,0.036476,-0.065797083,9.06521804,C10H6F13N5O,CF2,49.99680644,6,C4H6F1N5O1,neutral,159.055638,NA
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluoro-N-[2-(2-hydroxyethoxy)ethyl]octanamide",OECDPFAS_list_22012019.csv,RSSYTIJSFBLSQT-UHFFFAOYSA-N,C12H10F15NO3,501.0421156,OCCOCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,3,Suspect,0.0421156,-0.074119805,1.0740512,C12H10F15NO3,CF2,49.99680644,7,C5H10F1N1O3,neutral,151.0644714,NA
"N-(2,2,3,3,4,4,4-Heptafluorobutanoyl)-D-phenylalanine",OECDPFAS_list_22012019.csv,WQIUWPXBEHWYBX-MRVPVSSYSA-N,C13H10F7NO3,361.0548903,OC(=O)[C@@H](Cc1ccccc1)NC(=O)C(F)(F)C(F)(F)C(F)(F)F,2,2,Suspect,0.0548903,-0.077952782,11.07724522,C13H10F7NO3,CF2,49.99680644,3,C10H10F1N1O3,neutral,211.0644714,NA
"N-Cyclooctyl-1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonamide",OECDPFAS_list_22012019.csv,IQHFWDNZUPFZQI-UHFFFAOYSA-N,C12H16F9NO2S,409.0758034,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NC1CCCCCCC1,1,2,Suspect,0.0758034,-0.101933231,9.10135188,C12H16F9NO2S,CF2,49.99680644,4,C8H16F1N1O2S1,neutral,209.088578,NA
"2,2,3,3,4,4,4-Heptafluoro-N-(2,4,5-trichlorophenyl)butanamide",OECDPFAS_list_22012019.csv,YGYLNZMGQILRCE-UHFFFAOYSA-N,C10H3Cl3F7NO,390.916844,FC(F)(F)C(F)(F)C(F)(F)C(=O)Nc1cc(Cl)c(Cl)cc1Cl,1,1,Suspect,-0.083156,0.058186077,40.93919892,C10H3Cl3F7NO,CF2,49.99680644,3,C7H3F1N1O1Cl3,neutral,240.926425,NA
"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-N-[3-(triethoxysilyl)propyl]octane-1-sulfonamide",OECDPFAS_list_22012019.csv,VXIXTPSCZIRXQF-UHFFFAOYSA-N,C17H22F17NO5SSi,703.0716493,CCO[Si](CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC,1,5,Suspect,0.0716493,-0.116558198,3.11635914,C17H22F17NO5SSi,CF2,49.99680644,8,C9H22F1N1O5S1Si1,neutral,303.0971986,NA
"2,2,3,3,4,4,4-Heptafluoro-N-[(4-sulfamoylphenyl)methyl]butanamide",OECDPFAS_list_22012019.csv,VABWMMCIAMBZFP-UHFFFAOYSA-N,C11H9F7N2O3S,382.0222105,NS(=O)(=O)c1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1,2,3,Suspect,0.0222105,-0.046612276,32.04456542,C11H9F7N2O3S,CF2,49.99680644,3,C8H9F1N2O3S1,neutral,232.0317914,NA
"N-(2,4-Difluorophenyl)-1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonamide",OECDPFAS_list_22012019.csv,UJIJCTJJFCYMGG-UHFFFAOYSA-N,C10H4F11NO2S,410.9787093,Fc1ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(F)c1,1,2,Suspect,-0.0212907,-0.00496068,11.00425778,C10H4F11NO2S,CF2,49.99680644,5,C5H4F1N1O2S1,neutral,160.9946776,NA
"4,5,6,7-Tetrafluoro-3-(nonafluorobutyl)-1H-indazole",OECDPFAS_list_22012019.csv,PCLWKPYPGDOCHW-UHFFFAOYSA-N,C11HF13N2,407.9932142,Fc1c2Nnc(c2c(F)c(F)c1F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,-0.0067858,-0.019274881,8.01876268,C11HF13N2,CF2,49.99680644,6,C5H1F1N2,neutral,108.0123763,NA
"N-{1-[3,5-Bis({[tert-butyl(dimethyl)silyl]oxy}methyl)phenyl]-2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptylidene}hydroxylamine",OECDPFAS_list_22012019.csv,BVXZMRRINBBFRU-UHFFFAOYSA-N,C27H38F13NO3Si2,727.2182633,CC(C)(C)[Si](C)(C)OCc1cc(CO[Si](C)(C)C(C)(C)C)cc(c1)C(=NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,4,Suspect,0.2182633,-0.26471457,27.26297314,C27H38F13NO3Si2,CF2,49.99680644,6,C21H38F1N1O3Si2,neutral,427.2374254,NA
N-[4-(Nonafluorobutoxy)phenyl]pyridine-4-carboxamide--hydrogen chloride (1/1),OECDPFAS_list_22012019.csv,WVBXTQVJWWYEHC-UHFFFAOYSA-N,C16H10ClF9N2O2,468.0287087,Cl.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)Oc1ccc(NC(=O)c2ccncc2)cc1,1,3,Suspect,0.0287087,-0.058604165,18.05745074,C16H10ClF9N2O2,CF2,49.99680644,4,C12H10F1N2O2Cl1,neutral,268.0414835,NA
"N'-(3,3-Dimethyl-3,4-dihydroisoquinolin-1-yl)-2,2,3,3,4,4,4-heptafluorobutanehydrazide",OECDPFAS_list_22012019.csv,URBCHCXZUQVVLP-UHFFFAOYSA-N,C15H14F7N3O,385.1025092,CC1(C)Cc2ccccc2C(NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)=N1,2,3,Suspect,0.1025092,-0.127107731,35.12486412,C15H14F7N3O,CF2,49.99680644,3,C12H14F1N3O1,neutral,235.1120903,NA
"Ethyl 6-(nonafluorobutyl)-4-phenyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate",OECDPFAS_list_22012019.csv,DPPZXQLFUUGHRN-UHFFFAOYSA-N,C17H13F9N2O2S,480.0554023,CCOC(=O)C1=C(NC(=S)NC1c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,3,Suspect,0.0554023,-0.086065973,30.08414434,C17H13F9N2O2S,CF2,49.99680644,4,C13H13F1N2O2S1,neutral,280.0681769,NA
"N,N'-(3,4-Dioxocyclobut-1-ene-1,2-diyl)bis(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonamide)",OECDPFAS_list_22012019.csv,SDZMKQKEKPKKLS-UHFFFAOYSA-N,C12H2F18N2O6S2,675.9066851,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NC1=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C1=O,2,6,Suspect,-0.0933149,0.050141171,25.94820138,C12H2F18N2O6S2,CF2,49.99680644,9,C3H2N2O6S2,neutral,225.9354278,NA
"(2Z)-4,5,5,5-Tetrafluoro-2-iodo-4-(trifluoromethyl)pent-2-en-1-ol",OECDPFAS_list_22012019.csv,RLTYZSOFMJFAHD-IWQZZHSRSA-N,C6H4F7IO,351.91951,OC\C(I)=C\C(F)(C(F)(F)F)C(F)(F)F,1,1,Suspect,-0.08049,0.058011043,1.94186492,C6H4F7IO,CF2,49.99680644,3,C3H4F1I1O1,neutral,201.929091,NA
